Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS
Jeff Withey,0.218339152,1.508376547,-0.060589736,-0.361435184,-0.639305025,-0.334773178,-0.530663813,-0.562385413,-0.60751593,-0.042510436,-0.473180507,-0.646560993
Jerami Grant,-0.74022298,0.321889533,-0.291001409,-0.049016046,-0.16294596,-0.168228801,-0.194832362,-0.368561165,-0.316157113,0.649779839,-0.164446031,0.681539779
Jeremy Evans,0.937260752,0.618511286,0.40023361,-0.219719286,-0.581291633,-0.228624014,-0.484610977,-0.529442952,-0.510396324,-0.166767665,-0.517285433,-0.990883415
Jeremy Lamb,-0.260941914,-0.567975728,0.169821937,0.121687195,-0.159385571,-0.367716022,-0.067301431,-0.226831971,-0.170477704,-0.173868078,-0.085057165,0.435595191
Jeremy Lin,0.697620219,-1.161219235,0.630645283,0.282727987,0.272782788,-0.345754126,-0.072260967,0.775997838,0.58077101,-0.021209197,0.109004506,-0.744938828
Jerian Grant,-0.260941914,-0.864597482,-0.521413082,-0.338889473,-0.439609106,-0.536090557,-0.51791072,-0.121109653,-0.310444195,-0.504037286,-0.473180507,-0.056293983
Jerryd Bayless,0.697620219,-1.161219235,1.091468629,0.752967102,0.382421817,-0.364055706,-0.055256843,0.579875278,0.237995931,-0.344277992,0.100183521,-0.69574991
Jimmy Butler,0.457979686,0.321889533,0.40023361,0.450210412,0.719087984,0.518080447,0.355676156,0.56991593,1.2291872,0.138550097,0.929356116,1.616129211
Joakim Noah,1.416541818,1.211754794,1.321880301,0.988086659,1.018474788,3.137036537,1.870460211,0.775997838,0.697885828,2.392931249,2.164294022,-0.498994241
Jodie Meeks,0.937260752,-0.864597482,0.861056956,0.685329969,0.400956781,-0.39699855,-0.088556586,-0.170906397,0.409383471,-0.472085427,0.020794655,-0.449805323
Joe Harris,-0.021301381,-0.271353975,-0.291001409,-0.425851501,-0.477097905,-0.530600083,-0.502323606,-0.450534266,-0.561812586,-0.48983646,-0.605495283,-0.400616406
Joe Ingles,0.937260752,0.321889533,-0.291001409,0.018621087,-0.074669263,-0.504977872,-0.172160196,0.074246803,0.126594031,-0.447233981,0.109004506,2.108018385
Joe Johnson,2.375103951,0.025267779,2.704350339,3.084837781,3.775786408,1.286746805,2.058922586,3.219868802,2.291789944,0.326711044,1.573288024,0.533973026
Joe Young,-0.260941914,-1.457840989,-0.521413082,-0.615879636,-0.743498754,-0.631258773,-0.690785981,-0.520249707,-0.673214486,-0.592792449,-0.667242178,-0.89250558
Joel Bolomboy,-0.500582447,0.618511286,-0.751824755,-0.966948564,-0.846750026,-0.647730195,-0.757385467,-0.609883846,-0.758908256,-0.589242243,-0.746631044,-1.08926125
Joel Embiid,-0.74022298,1.508376547,-0.751824755,-0.722166559,-0.573751986,-0.292679544,-0.252929786,-0.40839856,-0.576094881,0.067545967,-0.287939821,1.468562458
Joffrey Lauvergne,-0.021301381,1.211754794,-0.291001409,-0.354993552,-0.560662322,-0.228624014,-0.379752211,-0.473517378,-0.610372389,-0.475635634,-0.508464447,-0.253049653
John Collins,-1.45914458,0.91513304,-0.982236428,-0.786582876,-0.669358895,-0.343923968,-0.510825668,-0.536337886,-0.633224061,-0.312326133,-0.579032328,0.829106531
John Henson,0.218339152,1.211754794,0.169821937,0.234415749,-0.022310606,0.688285141,0.218934658,-0.283523648,-0.253315015,1.494728995,0.126646476,0.730728696
John Holland,0.697620219,-0.567975728,-0.982236428,-0.947623669,-0.838058489,-0.655050827,-0.756676962,-0.607585535,-0.74748242,-0.589242243,-0.746631044,-1.040072333
John Wall,0.218339152,-0.864597482,0.630645283,0.717538128,1.179530018,-0.089532007,0.684422555,3.22140101,1.88045985,0.706583143,1.202806652,1.075051118
Johnathan Motley,-0.979863513,0.618511286,-0.982236428,-0.989494275,-0.837849055,-0.640409563,-0.744632374,-0.606053327,-0.758908256,-0.589242243,-0.737810059,-0.941694498
Johnny O'Bryant,-0.500582447,0.618511286,-0.291001409,-0.551463319,-0.679935344,-0.429941394,-0.611433402,-0.558554895,-0.676070945,-0.528888732,-0.658421193,-0.941694498
Jon Leuer,0.457979686,0.91513304,0.40023361,0.057270877,-0.275831225,-0.062079637,-0.06163339,-0.391544277,-0.410420259,-0.248422415,-0.208550956,-0.105482901
Jonas Jerebko,0.937260752,0.91513304,0.630645283,0.785175261,0.201889166,0.598607399,0.323793423,-0.282757545,0.07232131,-0.117064773,0.117825491,0.288028439
Jonas Valanciunas,-0.260941914,1.508376547,0.169821937,0.392235726,0.317601799,1.447800708,1.065598337,-0.36549675,-0.2961619,1.022551525,0.611800654,1.81288488
Jonathan Gibson,0.937260752,-1.457840989,-0.751824755,-0.957286117,-0.82790091,-0.664201617,-0.752425931,-0.588432941,-0.744625961,-0.596342656,-0.737810059,-1.040072333
Jonathan Isaac,-1.45914458,0.91513304,-0.982236428,-0.937961222,-0.800150821,-0.636749247,-0.710624126,-0.597626186,-0.673214486,-0.48983646,-0.684884148,-0.351427488
Jonathon Simmons,0.457979686,-0.271353975,-0.521413082,-0.374318447,-0.41290619,-0.48850645,-0.487444997,-0.339449222,-0.398994423,-0.433033155,-0.358507702,0.435595191
Jordan Bell,-0.74022298,0.618511286,-0.982236428,-0.841336746,-0.771562994,-0.556222295,-0.665279795,-0.533273471,-0.667501568,-0.39753109,-0.631958238,0.238839521
Jordan Clarkson,-0.260941914,-0.567975728,-0.291001409,-0.055457677,0.014235737,-0.199341487,-0.264974374,0.025982267,0.046613179,-0.47918584,-0.517285433,-0.203860736
Jordan Crawford,0.697620219,-0.864597482,0.169821937,-0.119873995,-0.139698716,-0.386017602,-0.379752211,0.065053558,-0.207611671,-0.514687906,-0.349686717,-0.990883415
Jordan Mickey,-0.74022298,0.321889533,-0.521413082,-0.818791035,-0.805805556,-0.598315929,-0.704247579,-0.59839229,-0.741769502,-0.500487079,-0.693705134,-0.843316663
Jose Calderon,2.375103951,-1.161219235,1.782703647,1.699886963,1.553370832,-0.131625641,0.503045231,3.244384122,1.232043659,-0.354928611,0.161930416,-0.843316663
Josh Gray,-0.500582447,-1.754462743,-0.982236428,-1.00881917,-0.847273613,-0.662371459,-0.763762014,-0.602222809,-0.744625961,-0.589242243,-0.746631044,-1.040072333
Josh Hart,-0.979863513,-0.567975728,-0.982236428,-0.822011851,-0.703287305,-0.589165139,-0.612850412,-0.550127753,-0.633224061,-0.539539351,-0.623137253,0.337217356
Josh Huestis,-0.021301381,0.025267779,-0.521413082,-0.780141245,-0.74444121,-0.578184191,-0.675907373,-0.593795667,-0.721774289,-0.425932742,-0.658421193,-0.646560993
Josh Jackson,-1.45914458,0.321889533,-0.982236428,-0.776920429,-0.651138082,-0.492166766,-0.588052731,-0.520249707,-0.538960914,-0.472085427,-0.649600208,0.042083852
Josh Magette,0.457979686,-1.754462743,-0.982236428,-0.966948564,-0.833660362,-0.662371459,-0.757385467,-0.56774814,-0.744625961,-0.592792449,-0.746631044,-1.040072333
Josh McRoberts,0.937260752,0.91513304,1.321880301,0.369690015,0.00983761,0.190482166,0.093529243,0.078843426,-0.133343737,0.092397412,0.056078596,-0.941694498
Josh Richardson,-0.500582447,-0.271353975,-0.521413082,-0.425851501,-0.289758628,-0.437262026,-0.461230306,-0.271265988,-0.147626032,-0.102863947,-0.173267016,1.517751376
Josh Smith,1.416541818,0.618511286,1.782703647,1.854486124,2.180522832,2.476349501,2.727751468,1.525247306,2.326067452,5.485161143,2.967003662,-0.548183158
Jrue Holiday,0.218339152,-0.864597482,0.861056956,0.859254025,1.152617668,0.184991692,0.435028735,2.171838872,1.674794803,0.333811457,0.920535131,1.566940293
Juan Hernangomez,-0.979863513,0.618511286,-0.751824755,-0.74471227,-0.739100627,-0.554392137,-0.641899124,-0.5800058,-0.664645109,-0.543089558,-0.693705134,-0.794127745
Julius Randle,-0.74022298,0.618511286,-0.291001409,-0.258369076,-0.162841242,0.254537696,0.374805796,-0.137963936,-0.35329108,-0.20226973,-0.226192926,0.878295449
Julyan Stone,0.697620219,-0.271353975,-0.291001409,-0.79946614,-0.80371121,-0.647730195,-0.721960209,-0.552426065,-0.721774289,-0.567941004,-0.711347104,-0.990883415
Justin Anderson,-0.500582447,-0.271353975,-0.521413082,-0.483826186,-0.60558605,-0.46105408,-0.515785204,-0.519483603,-0.553243209,-0.401081296,-0.508464447,-0.154671818
Justin Holiday,0.457979686,-0.271353975,-0.060589736,-0.13919889,-0.282847285,-0.51595882,-0.336533396,-0.324893251,-0.139056655,-0.244872209,-0.332044746,0.238839521
Justin Jackson,-0.979863513,0.321889533,-0.982236428,-0.805907772,-0.698575026,-0.616617509,-0.656069228,-0.554724376,-0.687496781,-0.550189971,-0.711347104,-0.646560993
Justin Patton,-1.45914458,1.211754794,-0.982236428,-1.021702434,-0.855860433,-0.666031775,-0.769430055,-0.611416054,-0.764621174,-0.596342656,-0.755452029,-1.138450168
Justise Winslow,-1.219504046,0.025267779,-0.521413082,-0.49670945,-0.381176844,-0.358565232,-0.274893446,-0.357835712,-0.344721703,-0.365579231,-0.235013911,0.435595191
Jusuf Nurkic,-0.74022298,1.508376547,-0.291001409,-0.258369076,-0.319184194,0.309442436,0.080067645,-0.338683118,-0.224750425,0.458068686,-0.014489285,1.665318128
Kadeem Allen,-0.260941914,-1.161219235,-0.982236428,-0.966948564,-0.845074549,-0.658711143,-0.764470519,-0.602222809,-0.758908256,-0.589242243,-0.746631044,-1.040072333
Karl-Anthony Towns,-0.979863513,1.508376547,-0.521413082,-0.232602549,0.041671674,0.730378774,0.728349876,-0.167075878,-0.259027933,0.667530871,0.038436626,1.911262715
Kawhi Leonard,-0.021301381,0.025267779,0.40023361,0.285948803,0.43844558,0.265518644,0.648997297,0.096463812,1.297742216,0.429667033,1.423331278,1.419373541
Kay Felder,-0.979863513,-2.940949757,-0.751824755,-0.83811593,-0.801197994,-0.655050827,-0.731879281,-0.551659961,-0.707491994,-0.567941004,-0.711347104,-0.89250558
Kelly Olynyk,-0.021301381,1.508376547,-0.060589736,0.115245563,-0.067234334,0.18682185,0.133914038,-0.091997711,-0.036224132,-0.01765899,0.135467461,1.124240036
Kelly Oubre,-0.979863513,0.025267779,-0.521413082,-0.306681314,-0.384318364,-0.400658866,-0.335824891,-0.490371661,-0.310444195,-0.38688047,-0.358507702,0.730728696
