Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS,DWS_Next
Aaron Gordon,-1.857603503,0.543397685,-1.10131363,-1.048627773,-0.910770315,-0.725959923,-0.737072794,-0.671099712,-0.812453196,-0.535000446,-0.763821225,-0.661262472,2.2
Aaron Gordon,-1.609898273,0.543397685,-0.842531969,-0.768047036,-0.703675704,-0.474048529,-0.482000055,-0.570337727,-0.646676248,-0.375017785,-0.576095578,-0.032134467,1.7
Aaron Gray,-0.866782584,1.350102067,-1.10131363,-0.998267128,-0.931224104,-0.686701005,-0.755137436,-0.664802088,-0.812453196,-0.5524531,-0.755288241,-0.577378738,0.8
Aaron Gray,-0.371372124,1.350102067,-0.583750309,-0.681714501,-0.817171999,-0.475684317,-0.61278806,-0.611272283,-0.747828284,-0.468098606,-0.652892433,-0.745146206,0.8
Aaron Gray,-0.123666894,1.350102067,-0.324968648,-0.534229755,-0.758145033,-0.379172809,-0.531858466,-0.598677035,-0.716920718,-0.433193298,-0.584628561,-0.745146206,1.3
Aaron Gray,0.124038336,1.350102067,-0.066186987,-0.357967497,-0.667770412,-0.243402382,-0.388786505,-0.577422554,-0.655105584,-0.383744112,-0.47369977,-0.367669403,0.4
Aaron Harrison,-1.362193043,-0.263306698,-1.10131363,-1.142154685,-0.989028289,-0.794663031,-0.818002388,-0.695503005,-0.854599878,-0.598993511,-0.815019129,-1.164564876,0
Aaron Harrison,-1.114487814,-0.263306698,-0.842531969,-1.12416874,-0.987138537,-0.794663031,-0.815834631,-0.693141396,-0.854599878,-0.598993511,-0.815019129,-1.206506743,0.2
Aaron McKie,-1.114487814,-0.532208158,-1.10131363,-1.055822151,-0.907435458,-0.743953595,-0.758027778,-0.627016344,-0.770306514,-0.5524531,-0.721156305,-0.241843802,3.2
Aaron McKie,-0.866782584,-0.532208158,-0.842531969,-0.764449847,-0.656320737,-0.603275803,-0.600504104,-0.465639727,-0.511806867,-0.491368811,-0.448100818,0.596993538,2.4
Aaron McKie,-0.619077354,-0.532208158,-0.583750309,-0.465883165,-0.475682658,-0.537844272,-0.469716099,-0.338900043,-0.2954539,-0.427375747,-0.243309202,1.100295942,2
Aaron McKie,-0.123666894,-0.532208158,-0.066186987,0.005348585,-0.167541885,-0.398802269,-0.263056599,-0.122419216,0.16534982,-0.380835337,0.072411206,0.303400469,3
Aaron McKie,0.124038336,-0.532208158,0.192594674,0.300318078,0.049446134,-0.32192022,-0.119262053,0.066509506,0.468805928,-0.328477375,0.328400726,0.722819139,3.5
Aaron McKie,0.619448796,-0.532208158,0.710157995,0.746369505,0.479086858,-0.225408711,0.201565982,0.504194378,0.92399009,-0.264484311,0.80624783,1.100295942,3
Aaron McKie,0.867154025,-0.532208158,0.968939656,1.03414462,0.742985197,-0.125625627,0.410393238,0.723036814,1.292071111,-0.23830533,1.062237349,0.890586607,2.3
Aaron McKie,1.114859255,-0.532208158,1.227721317,1.30393379,0.977759119,-0.052015154,0.560691056,0.8765414,1.530902307,-0.17140349,1.258495981,0.974470341,1.5
Aaron McKie,1.362564485,-0.532208158,1.486502977,1.548542638,1.102038118,-0.019299389,0.670524077,0.95762331,1.665771688,-0.121954304,1.386490741,0.345342336,0.1
Aaron McKie,1.610269715,-0.532208158,1.745284638,1.598903283,1.115488707,-0.014392024,0.682808033,0.966282543,1.679820582,-0.121954304,1.395023725,-0.577378738,0.1
Aaron Williams,-1.114487814,0.543397685,-1.10131363,-1.196112519,-0.998032402,-0.799570396,-0.824505659,-0.696290208,-0.871458551,-0.598993511,-0.823552113,-1.24844861,0.1
Aaron Williams,-0.866782584,0.543397685,-0.842531969,-1.142154685,-0.990028746,-0.791391454,-0.81438946,-0.696290208,-0.865838993,-0.581540857,-0.815019129,-1.206506743,0.4
Aaron Williams,-0.371372124,0.543397685,-0.583750309,-1.02344745,-0.927444599,-0.689972581,-0.755860021,-0.684482163,-0.820882532,-0.497186363,-0.780887193,-1.038739275,1
