Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS,OWS_Next
James Harden,-0.619077354,-0.532208158,-0.066186987,0.116861442,0.294002303,-0.024521594,-0.043368806,1.691832732,1.670511452,1.239727481,1.030299405,-0.405345422,0.438856528,0.525876034,1.297310837,4.005169705,12.2
LeBron James,0.371743566,0.274496224,1.227721317,1.534153882,2.377065053,3.295544577,3.055508224,2.824489896,3.124153454,4.100968458,4.217342499,0.751156889,3.476672933,3.099209223,5.254631106,5.132956071,12.2
Karl Malone,1.610269715,0.543397685,1.745284638,2.307549503,3.091280228,5.135169106,4.764720214,-0.313365561,-0.258336235,5.643155625,6.009296863,3.561441145,1.808589761,3.957517755,4.41025267,4.389096979,12.1
Magic Johnson,-0.123666894,0.543397685,0.451376334,0.534135358,1.000436146,1.225333501,1.00014676,-0.405558586,-0.310730708,1.4292921,1.29310928,0.846032609,3.397952632,2.134209277,2.293677391,3.669233341,12.1
Magic Johnson,0.371743566,0.543397685,0.968939656,1.080908076,1.616384206,1.956368869,1.69972973,-0.342999033,-0.194975477,2.369216673,2.141371701,1.189548146,4.842470151,3.040290084,3.413886116,4.005169705,12.1
Michael Jordan,0.124038336,-0.263306698,0.451376334,0.613273515,1.187521615,2.931927331,2.680539353,0.055406539,0.198592307,3.297293456,2.89117509,0.679182205,1.678701265,1.624638349,4.01058021,6.3327288,12.1
Shaquille O'Neal,-1.609898273,1.619003528,-1.10131363,-0.926323349,-0.657988166,-0.382437524,-0.454441098,-0.533970299,-0.560518311,-0.357749366,-0.248153243,-0.241766594,-0.577422554,-0.432754275,-0.385816845,1.389665156,12.1
LeBron James,-1.609898273,0.274496224,-0.842531969,-0.645742612,-0.275702409,-0.05746253,-0.027217275,0.029065675,0.076744696,0.034214978,0.035863193,-0.457690646,0.123188122,-0.069684989,0.042001562,2.133524248,12
Michael Jordan,0.371743566,-0.263306698,0.710157995,0.90104863,1.532345813,3.512194573,3.224624252,0.144306956,0.320439919,3.782065479,3.338027615,0.828038938,2.063643535,1.943120179,4.691712149,5.708846981,12
Michael Jordan,-1.114487814,-0.263306698,-0.842531969,-0.857976759,-0.599739333,-0.22913548,-0.270440326,-0.494459003,-0.477661935,-0.053656122,-0.134546669,-0.490406412,-0.276711005,-0.38657441,-0.003031954,1.941560611,11.9
Dirk Nowitzki,0.124038336,1.350102067,0.710157995,0.951409275,1.452086925,1.486327064,1.50021082,2.324013475,2.231010464,2.465973614,2.089112677,0.448536058,0.500258363,0.884168093,3.318189893,4.940992434,11.8
Reggie Miller,-0.619077354,0.005594763,-0.583750309,-0.361564686,-0.158093124,-0.177823639,-0.243837805,0.483445584,0.385019152,0.188236231,0.079033691,-0.370993868,-0.169651396,-0.17956122,0.424786453,3.069346977,11.7
James Harden,0.124038336,-0.532208158,0.710157995,0.994575542,1.300350938,0.814838771,0.796510794,4.016414005,4.068472442,3.393063082,2.955552149,-0.024206754,2.079387595,2.37147824,3.23375205,4.557065161,11.6
Karl Malone,1.362564485,0.543397685,1.486502977,2.01258001,2.758016867,4.5878428,4.271306784,-0.313365561,-0.274176425,5.128764131,5.486706621,3.245734008,1.518899054,3.586486423,3.75726668,3.549256068,11.6
Kobe Bryant,-0.123666894,-0.263306698,0.968939656,1.037741809,1.441971192,1.858813022,1.973672359,1.504154074,1.704628783,2.809559487,2.518545527,0.518874954,1.497644573,1.912864405,2.670833092,2.805396976,11.6
Shaquille O'Neal,-0.123666894,1.619003528,0.451376334,0.419025312,0.888718441,2.281977343,1.834325819,-0.530677691,-0.543459646,1.651438139,2.685168502,2.185743206,0.19324919,1.197872696,2.068509808,2.56544243,11.6
Stephen Curry,-0.371372124,-1.07001108,-0.066186987,-0.009040171,0.328573652,0.135748724,0.148232687,2.445839972,1.944668577,0.205020599,0.048738604,-0.441332764,1.071767746,0.779069089,0.931413515,3.477269705,11.6
Ray Allen,-0.619077354,-0.532208158,-0.324968648,-0.152927728,0.179839037,0.040726796,0.091543981,1.102455894,0.997912637,0.283018541,0.139623864,-0.205779252,0.131060152,0.220133477,0.554257813,2.397474248,11.5
James Harden,-0.123666894,-0.532208158,0.451376334,0.703203238,0.972756834,0.553845208,0.550437472,3.1537507,3.147304501,2.656525549,2.28830287,-0.17960664,1.365394468,1.632600394,2.586395249,4.725033343,11.4
Peja Stojakovic,-0.371372124,0.543397685,-0.066186987,0.005348585,0.198736559,0.090771678,0.058607526,1.392205401,1.290346904,0.187248915,0.058584508,-0.240130806,-0.179097833,-0.080831853,0.751279448,2.517451521,11.4
Amar'e Stoudemire,-1.362193043,0.812299146,-0.842531969,-0.724880769,-0.488577438,-0.339994396,-0.334729753,-0.524092475,-0.544678122,-0.157324273,-0.098192565,-0.135440356,-0.574273742,-0.338802135,-0.357670897,0.429846972,11.3
