Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS
Emeka Okafor,2.135463418,0.91513304,1.091468629,0.959099317,1.139109134,1.246302396,1.193049242,-0.645041214,-0.669188863,0.685732126,1.107642649,2.910096945,-0.213042103,0.78210653,0.032345424,-0.332315623
Emmanuel Mudiay,-1.219504046,-0.567975728,-0.521413082,-0.422630685,-0.362118293,-0.341930544,-0.252215273,-0.210666048,-0.16115235,-0.282948143,-0.272041128,-0.50680803,-0.002363572,-0.048706001,0.016466761,-0.960433116
Enes Kanter,-0.260941914,1.211754794,0.40023361,0.637017731,0.327968813,0.872677106,0.73450889,-0.56651011,-0.571419247,0.405761092,0.39126838,2.00233858,-0.324893251,0.500475164,-0.004704789,1.934369241
Eric Bledsoe,0.457979686,-1.754462743,0.630645283,0.559718151,0.571122418,0.525739337,0.541199473,0.542741727,0.640193014,0.86620126,0.812754193,0.044069527,1.14602595,1.346933882,-0.004704789,1.278942292
Eric Gordon,0.697620219,-0.864597482,1.091468629,0.781954445,1.094080689,0.557634179,0.621582345,2.400493144,2.342480829,1.092519308,0.998480855,-0.210322435,0.700919671,1.088771796,-0.020583452,0.814681537
Eric Moreland,-0.021301381,0.91513304,-0.521413082,-0.773699613,-0.766745998,-0.663482623,-0.673655838,-0.645041214,-0.671016333,-0.630229286,-0.629849229,-0.512298504,-0.550893857,-0.687070431,-0.020583452,-0.468862904
Erik McCree,-0.500582447,0.321889533,-0.982236428,-1.012039986,-0.855441563,-0.709046683,-0.715311739,-0.645041214,-0.670102598,-0.642910901,-0.654865473,-0.666031775,-0.611416054,-0.755913654,-0.025876339,-0.71464801
Ersan Ilyasova,0.937260752,0.91513304,1.091468629,1.1587899,0.881190388,0.613612881,0.660309316,1.212710203,1.221328307,0.427222286,0.424623372,1.59238319,0.003765258,0.339319437,-0.025876339,0.43234915
Evan Fournier,-0.260941914,0.025267779,0.169821937,0.186103512,0.214874113,0.042109388,0.04295584,0.844595656,0.791872981,0.139447181,0.100928332,-0.358565232,0.044368757,0.154694431,-0.057633665,0.459658606
Evan Turner,0.697620219,0.025267779,0.630645283,0.949436869,0.932501872,0.762021532,0.898854439,-0.009430095,0.114795541,0.304308173,0.279832383,-0.038287583,1.028812076,1.005847005,-0.057633665,-0.523481817
Frank Kaminsky,-0.500582447,1.508376547,-0.521413082,-0.268031524,-0.280648222,-0.348439696,-0.320882423,0.061738718,0.087383499,-0.271242037,-0.277347604,-0.3512446,-0.313401695,-0.444554532,-0.062926552,0.077326219
Frank Mason,-0.74022298,-2.051084496,-0.982236428,-0.857440825,-0.753237464,-0.635493272,-0.619958778,-0.568964207,-0.592435145,-0.551213071,-0.567687652,-0.611127035,-0.498798802,-0.655778057,-0.062926552,-0.660029098
Frank Ntilikina,-1.698785113,-0.567975728,-0.982236428,-0.773699613,-0.677631563,-0.623125885,-0.604012378,-0.522336365,-0.527559979,-0.595110969,-0.603316848,-0.598315929,-0.419890116,-0.552513223,-0.062926552,-1.752407345
Fred VanVleet,-0.74022298,-2.051084496,-0.751824755,-0.660971058,-0.666322093,-0.610107582,-0.596527333,-0.353003673,-0.406033259,-0.543409001,-0.561623108,-0.612957193,-0.398439211,-0.618227208,-0.06821944,0.050016763
Furkan Korkmaz,-1.45914458,0.025267779,-0.982236428,-0.979831828,-0.847901917,-0.707093938,-0.712057372,-0.632770729,-0.655482842,-0.640959884,-0.651833201,-0.662371459,-0.608351639,-0.754349035,-0.06821944,-0.71464801
Garrett Temple,1.176901285,-0.271353975,0.630645283,0.38901491,0.021984819,-0.368618065,-0.333249019,0.208984537,0.22078877,-0.309286881,-0.297057372,-0.353074758,-0.053692523,-0.119113842,-0.06821944,-0.332315623
Gary Harris,-0.74022298,-0.864597482,-0.291001409,-0.203615207,-0.097707072,-0.190918232,-0.23464169,0.309602513,0.287491406,-0.270266528,-0.2940251,-0.373206496,-0.202316651,-0.239589482,-0.073512327,1.470108485
Gary Payton,-0.260941914,-0.864597482,3.165173685,3.368269576,4.111195967,4.242464784,4.227746744,2.150175251,2.622083658,2.547978483,2.751892161,1.905340207,6.2835177,4.009914913,-0.073512327,-0.741957466
George Hill,1.176901285,-1.161219235,1.091468629,1.120140109,1.151046908,0.521833846,0.531761808,1.39431338,1.311788046,0.753042235,0.700560128,0.020277473,1.065585056,0.614692329,-0.078805215,1.060466642
Georges Niang,-0.500582447,0.321889533,-0.751824755,-0.921857142,-0.843189638,-0.701235702,-0.705548637,-0.642587117,-0.656396577,-0.639984375,-0.651833201,-0.656880985,-0.605287224,-0.744961323,-0.078805215,-0.796576379
Georgios Papagiannis,-1.45914458,1.804998301,-0.751824755,-0.899311431,-0.806329143,-0.660878963,-0.66942516,-0.645041214,-0.669188863,-0.631204795,-0.644252521,-0.598315929,-0.589199045,-0.707410474,-0.084098102,-0.660029098
Gerald Green,1.416541818,0.025267779,1.321880301,0.859254025,0.353519838,0.12087012,0.176384899,1.332960956,1.363870926,0.107255389,0.059234592,-0.138946273,-0.185462368,0.284557783,-0.094683878,-0.35962508
Gian Clavell,-0.500582447,-0.864597482,-0.982236428,-1.002377539,-0.849577394,-0.709046683,-0.714660866,-0.630316632,-0.657310312,-0.640959884,-0.653349337,-0.664201617,-0.609117742,-0.754349035,-0.099976765,-0.660029098
Giannis Antetokounmpo,-0.74022298,1.211754794,-0.060589736,0.240857381,0.490594803,0.787407223,0.677557463,-0.23275292,-0.130999103,0.96570316,1.021222896,0.411931283,0.535441261,0.744555681,-0.11056254,3.764102806
Glenn Robinson,-0.500582447,0.025267779,2.243526993,1.744978385,2.063239439,2.645769947,2.776949804,1.077734869,1.191175061,1.871950864,1.745177845,1.387405494,0.905469372,2.712846009,-0.115855428,-0.195768342
Goran Dragic,1.176901285,-1.161219235,1.091468629,1.300505797,1.263722739,1.151919701,1.108110256,1.342777343,1.363870926,1.092519308,1.115981397,0.322253542,2.050028375,1.799108687,-0.121148315,1.497417942
Gordon Hayward,0.218339152,0.321889533,0.630645283,0.640238547,0.836894963,0.614263796,0.669746981,1.045831608,1.041322564,1.255429283,1.143271845,0.023937789,0.738458755,0.899452933,-0.121148315,1.278942292
Gorgui Dieng,0.457979686,1.211754794,-0.060589736,0.186103512,0.10890019,0.042760303,0.012039351,-0.539515044,-0.551317082,0.010680015,-0.007475393,0.756000986,-0.184696265,0.002926416,-0.126441203,0.6508248
Greg Monroe,0.218339152,1.211754794,0.630645283,0.872137289,0.923391466,1.404474775,1.333963346,-0.645041214,-0.660051516,0.919854245,1.062916636,2.448897131,0.407501935,1.04809171,-0.131734091,0.6508248
Guerschon Yabusele,-0.979863513,0.025267779,-0.982236428,-0.918636326,-0.831670733,-0.699933871,-0.707826695,-0.61559205,-0.637208148,-0.628278269,-0.638187977,-0.634919089,-0.599158394,-0.738702848,-0.137026978,-0.496172361
Harrison Barnes,-0.260941914,0.321889533,0.169821937,0.466314491,0.615941429,0.46910972,0.50963211,0.542741727,0.534199785,0.317965297,0.291961471,0.217934536,-0.063651872,0.076463495,-0.142319866,0.568896431
Hassan Whiteside,0.457979686,1.508376547,0.169821937,-0.152082153,-0.096555182,0.280344329,0.145142973,-0.64013302,-0.669188863,-0.008830161,0.131251053,0.918885048,-0.498798802,-0.059658332,-0.147612753,1.115085555
Henry Ellenson,-1.219504046,1.211754794,-0.751824755,-0.841336746,-0.806538577,-0.679104587,-0.678211952,-0.571418304,-0.584211533,-0.614621145,-0.626816956,-0.633088931,-0.590731252,-0.707410474,-0.147612753,-0.823885835
Ian Clark,-0.021301381,-1.161219235,-0.060589736,-0.155302969,-0.486208311,-0.453237033,-0.471885066,-0.218028339,-0.21140776,-0.515119244,-0.528268115,-0.570863559,-0.388479862,-0.478976144,-0.168784304,-0.305006167
Ian Mahinmi,1.176901285,1.211754794,1.091468629,0.733642207,0.091098246,-0.025585787,-0.086893415,-0.645041214,-0.663706455,0.027263665,0.202509446,0.818226358,-0.394608692,0.079592733,-0.174077191,-0.305006167
Ike Anigbogu,-1.698785113,0.91513304,-0.982236428,-0.989494275,-0.853137783,-0.706443023,-0.712708245,-0.645041214,-0.671016333,-0.638033357,-0.650317065,-0.656880985,-0.611416054,-0.754349035,-0.174077191,-0.605410185
